Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-10-14,1098.1455078125,1112.9952083757184,1089.8459888721277,1110.6762339064771,2369406
2014-10-15,1098.1455078125,1098.1455078125,1098.1455078125,1098.1455078125,0
2014-10-16,1089.5609130859375,1122.311613323086,1083.9261255505949,1110.6759210859057,3848014
2014-10-17,993.1599731445312,1021.7202938460027,988.6237352422005,1006.9315821911301,9892812
2014-10-20,985.898193359375,1014.4991464960867,983.7215534438417,1013.0344786036684,3399242
2014-10-21,990.0069580078125,994.2178025491799,982.5211225191895,986.9353875828175,1950732
2014-10-22,997.5132446289062,1012.6273495490989,994.7670676062239,1010.9999853875094,2067664
2014-10-27,999.6690673828125,1025.1169852803398,994.7056283193386,1024.8322165185584,2797208
2014-10-28,1008.3963012695312,1010.9593205123701,998.1641889109413,1010.9593205123701,2289958
2014-10-29,1021.62451171875,1024.8654146639856,1008.1512213460765,1008.9665478493891,2425016
2014-10-30,1042.884765625,1049.6927262990089,1022.8277409490602,1028.045853753727,4111292
2014-10-31,1063.1248779296875,1068.0779476853706,1044.0258106955093,1044.0258106955093,3170070
2014-11-03,1055.9910888671875,1079.9005111085935,1051.9755639545963,1079.9005111085935,2541632
2014-11-05,1059.720947265625,1075.4159872616729,1055.8481451886782,1075.4159872616729,2310642
2014-11-07,1048.856689453125,1066.3250042775649,1042.3951855472476,1061.8815135751556,2126740
2014-11-10,1047.5521240234375,1052.5868063822684,1039.9492420918539,1049.773968980116,1541964
2014-11-11,1052.056884765625,1057.4788277276473,1041.742981151046,1050.9562135242386,1249940
2014-11-12,1056.5615234375,1064.409043192944,1049.733162091854,1051.7714789114498,1320582
2014-11-13,1055.2164306640625,1061.9224744692847,1045.7178524328776,1057.8866461503462,1645540
2014-11-14,1062.5543212890625,1064.4703194939304,1049.7333263925439,1053.8914734499008,1457174
2014-11-17,1067.3853759765625,1070.1167015569968,1056.7657217566189,1057.9276025577701,1570552
2014-11-18,1054.1561279296875,1070.788710061438,1051.6693421213633,1068.0777890717984,1467026
2014-11-19,1049.2239990234375,1059.109839519336,1042.5790636506458,1059.109839519336,1865746
2014-11-20,1062.146484375,1064.1032884139063,1043.8424392707198,1055.0327786285563,1795386
2014-11-21,1068.954345703125,1076.2311758507144,1054.4822976945263,1063.1859494767664,2001594
2014-11-24,1083.4466552734375,1086.4226170567372,1068.8930964062909,1068.8930964062909,1942766
2014-11-25,1074.6004638671875,1092.293011359746,1066.4471978287415,1084.3843831133227,2371684
2014-11-26,1071.0540771484375,1082.8967188948961,1066.039797392928,1072.1751515051606,1584800
2014-11-27,1081.653076171875,1087.6457069004116,1070.2385035357388,1071.0538301526055,1732418
2014-11-28,1077.454345703125,1097.3890457730197,1074.33576056333,1083.7120185849615,1989768
2014-12-01,1097.8167724609375,1100.690818392172,1078.3712545747753,1080.511486721649,1896354
2014-12-02,1083.28369140625,1105.154787325641,1080.0427881233234,1097.83725110138,1436572
2014-12-03,1074.3355712890625,1089.8470810094361,1067.4664045290547,1089.235586028801,3094670
2014-12-04,1075.3953857421875,1087.2380245502031,1072.113676261339,1086.0150346463222,1285308
2014-12-05,1051.3433837890625,1080.226372145568,1048.5712530846092,1076.5981085893677,2359676
2014-12-08,1024.3765869140625,1057.8864976867949,1019.8310803965095,1057.8864976867949,3232574
2014-12-09,1025.2125244140625,1043.21082692786,1022.8684594453891,1025.6812975969112,2487940
2014-12-10,1022.37890625,1032.1628269427952,1017.6092648176999,1025.2733559324938,2087970
2014-12-11,1015.9579467773438,1028.4935919381837,1013.8585208133038,1019.4027809229468,1938822
2014-12-12,999.060791015625,1027.3118878365724,987.625811406288,1019.1586188854885,2380786
2014-12-15,961.535400390625,972.277372598988,958.9263940025029,972.2365664412429,3487788
2014-12-16,995.9418334960938,1002.5459589745725,955.9704274861737,958.00874396269,3339140
2014-12-17,996.3700561523438,1006.9284973460284,980.5322948346295,1000.1612457716134,2287076
2014-12-18,1003.1373291015625,1006.3171235923865,992.5788866353336,1000.8544737309397,1481444
2014-12-19,1023.4595336914062,1028.8406715330607,1006.113433320889,1007.458742663106,1903130
2014-12-22,1024.6212158203125,1030.98080508128,1008.722342195097,1029.7578148024174,1643954
